segment	proposition	belief_type
Buena gesta la de este soldado sin duda, gran valentía y amor a su nación independientemente de si fuese NSDAP o no, ya que hay que tener mucho valor y sangre fría para actuar así cuando las cosas están jodidas...	sin duda	HREL
Pero quizá, en una novela posterior incluyó a Carlos Espa, quien sabe...	quién sabe	HREL
Suena bonito ¿no? pero lamentablemente solo suena bonito...ya que no es cierto.	suena	HREL
Creo que más allá de darte un tiempo con él, deberias pensar, muy seriamente si eso es lo que quieres.	deberías	HREL
considero que ya lo he explicado y como digo lo sigo viendo absurdo.	considero	HREL
seguramente que ya sucedió.	seguramente	HREL
Sii obio después de semejante desicion tan crucial; si es el segundo cargo mas importante del pais, ahi se ve que no es una desicion politica sino legal pues no hay intereses politiqueros ya que si fuera asi seria un costo politico que nadie quisiera asumir; ; lo que me pregunto es por que centran su queja en el procurador; la procuraduria es un organismo de control y eso que el hizo es legal, constitucional ahi no hay nada que hacer; habria que cambiar es la constitucion y no atacar al procurador.	se ve	HREL
Tampoco entiendo por qué los homosexuales tendrían mucho que hacer para lograr el respeto.	entiendo	HREL
A don Felicísimo de la Torre también se le podrían pedir más explicaciones sobre sus puntos de vista a la hora de enjuiciar las declaraciones de Gustavo Bueno, y espero que cuando se entere de la existencia de estos Foros desarrolle su pensamiento (pediré que le manden un correo desde Este de Madrid).	espero	HREL
La uso frecuentemente y esta bien para mi.	frecuentemente	HPROP
suena un tanto absurdo, algo asi como ke en tu jardin tienes frutas y como tu familia tiene problemas y son desunidos, pues voy te saco la gran p.. y me kedo con tu jardin para administrarlo debidamente y dejandoles a ti y a tu famila la oportunidad de reflexionar.	suena	HREL
Pero me parece que no lo consigue (da de lado el asunto en los siguientes mensajes).	parece	HREL
el Sr. Franco superintendente de la escuela, dijo que los colegios han absorbido aproximadamente 50 estudiantes de México desde el año pasado, un incremento del 10% en matrícula.. Muchos de los nuevos estudiantes no hablan inglés y están tratándose el trauma del asesinato de sus familiares	aproximadamente	HPROP
En este nuevo programa todos lo proveedores son locales al lugar donde dan los alimentos y es virtualmente imposible controlar eso, conociendo como es el peruano típico de corrupto no faltan los funcionarios que compran cosas malogradas o vencidas para tirarse la plata, o los proveedores que por ahorrar costos producen cualquier cosa en condiciones antihigiénicas.	virtualmente	HPROP
no se porque tiene que ser seguidor de alguno de los tres mequetrefes para votar por uno?	no sé	HREL
Q1: alguien me dijo que podria tener un problema en la placa	podría	HREL
Yo de momento ya he enviado 3...Al final por ser pesados, quiza tengan ganas de abrirlo pronto y olvidarse"	quizá	HREL
No estaria describiendo uno en Idaho, por decir algo....	por decir algo	HPROP
En este pueblo, a los blancos los cuentas con los dedos de una mano (y me da que sobran dedos)y podría seguir!!! Reynosa no me suena, pero me da que estas de mierda al cuello como yo, no?	suena	HREL
Mediocre es un país donde sus habitantes pasan una media de 134 minutos al día frente a un televisor que muestra principalmente basura.	principalmente	HPROP
isra es que tienes mentalidad de danés de el cuerpo humano es lo que hay,y al fin y al cabo,estamos virtualmente en España.	virtualmente	HPROP
Yo intentaré cambiar de curro para currar en una estación de esquí o muy cerca, a parte de whistler......que otras estaciones me recomendáis para currar, imagino que por banff, algún otro lado?	imagino	HREL
Pregunta dentro de unos años y veremos a ver que te puedo decir, pero realmente cuando he vuelto de EEUU a España note un cambio, y eso que vivia en Madrid, ahora de nuevo aqui, lo vuelvo a notar, no se si a mejor o a peor, pero EEUU es un pais "aparentemente" fuerte y no dependiente o tan dependiente...	aparentemente	HPROP
espero que sigas con esa ilusión intacta mucho tiempo.	espero	HREL
¿Por qué crees saber lo que yo me considero o no? La que ha empezado a decir "a mí me ha pasado tal cosa o tal otra" precisamente no he sido yo.	considero	NH
Vamos, que los profesores se lo curran para que aprendamos (aunque también hay alguna excepción, pero generalmente es así), pero eso a un profesor de más de 40 años en España no se lo puedes pedir, por Dios.	generalmente	HPROP
por decir algo.	por decir algo	HPROP
te dire que mis objetivos son esos y en ese orden basicamente,primero la habitacion en frankfurt, despues buscar la academia para estar al menos el primer mes machando mi alemán y casi a la vez qeu esto segundo buscar un trabajo para mantenernos.	básicamente	HPROP
¿algun bar donde reunirse?	algún	HPROP
Pero eso no quita que eche de menos a mi familia y amigos, que cada vez que voy se me hacen cortos los dìas, que siempre que vuelvo me digo: la pròxima vez me quedo unas semanas... supongo que es normal.	supongo	HREL
Ya sé que no me estarán esperando en el aeropuerto,etc, esas cosas las llevo claras y asumo que me quiero ir a un país donde no tenemos en principio Visado de Trabajo.	asumo	HREL
La cuestión que antes planteaba se resolvería en gran medida con la habilitación de consultas populares referente a cuestiones que no deberían formar parte necesariamente de un programa de gobierno.	necesariamente	NH
A la mañana siguiente el tio este empezo a contar a algun ciber amigo mediante skype (me imagino, pues ni tenia movil) ''AYER MIENTRAS ME DUCHABA ME HICE CAQUITIS (literalmente) LA COJI CON LA MANO Y LA DESPEDECE Y SE CAYO POR EL DESAGUE, ERA TAN GRACIOSO VER COMO LOS GUISANTES DEL ARROZ TRES DELICIAS AUN SEGUIAN INTACTOS AHI DENTRO...''	imagino	HREL
Quien critica el circuito de Valencia es que no tiene ni puta idea de lo que habla...probablemente con Singapur y Spa es de lo mejor que tiene la F1 y como circuito es precioso... Puestos a hablar de cacas hablemos de Montmeló que es un COÑAZO y de una afición inexistente que si en lugar de estar a 2 horas de Francia hubiera estado a seis hubieramos visto como el segundo GP de Francia (que como es fue como nació) se disputaria en andorra.... Asi que menos paridas y prepotencias	probablemente	HREL
@Fargo y no podrias haber metido esto en el foro de "TV, cine, radio y prensa"?	podrías	HREL
Claro se valora el costo de vida en general, principalmente el precio del alquiler.	principalmente	HPROP
Es un intervalo en el que estás vendido y que se da muy frecuentemente).	frecuentemente	HPROP
Roma es efectivamente muy cara, seguramente un mini-apartamento bien conectado con medios de transporte y en una zona màs o menos buena no lo pagaràs menos de 600 euros, y 600 es ya un precio que te costarà encontrar.	seguramente	HREL
Cuando vivía en Madrid mi relación con mis amigos que viven en Andalucía era practicamente como ahora.	prácticamente	HPROP
Es muy molesto y a veces si la persona es muy sensible pero muy necesario por que puedes perder no solo piezas sino tambien puede llegar a retraerse la encia.	a veces	HPROP
Es una elucubración, pero vamos podría ser, y lo dicho, sin saber todas las razones, lo siento, pero creo que no va a llegar a mucho.	siento	HREL
Con una tabla completa una media-maratón hasta alguien como yo ;) (ex fumadora y ex-couchpotatoe)	alguien	NH
Y bueno...pues que rara vez salimos, por no decir nunca.	rara vez	HPROP
puede que en parte se pueda tratar de diferencias culturales, pero es obvio que tu suegra esta celosa de ti y no te puede ver, ya que todo el mundo, sea de la nacionalidad que sea, entiende que al tener otra cultura (mediterránea frente a nórdica) vas a tener diferentes costumbres y tradiciones, y ambas partes tienen que hacer un esfuerzo por adaptarse para poder convivir.	puede	HREL
alguien podría recomendarme alguna residencia que valga la pena?	alguien	HPROP
Aunque nunca se encontrarán todas las generaciónes, porque que un animal quede fosilizado no es algo que suceda muy frecuentemente, así que siempre quedarán huecos.	frecuentemente	HPROP
Ello afecta esencialmente al sector de dirección o incluso a cuadros medios.	esencialmente	HPROP
Si, además, como dice Nikita, quienes te rodean no te proporcionan apoyo y cuestionan tus gustos y costumbres, la cosa tiene que ir necesariamente a peor.	necesariamente	NH
y hasta 550 con todo incluido bills.. asi que, no se.. que decir.. lo importante es estar bien,, y no en un cuchitril.. solo llegar.. vamos...	no sé	HREL
Y, normalmente, las casas no alcanzan el asking price (rara vez lo sobrepasan...)	rara vez	HPROP
El rebote actual a 1,1 EUR = 1 GBP lo considero momentáneo y se explica basicamente debido al dato inesperado y realmente bajo de la inflación en la zona Euro, que eventualmente forzaria una bajada más pronunciada de los tipos en Europa.	básicamente	HPROP
poco después, cuando la cebolla, la chalota y el ajo empiecen a dorarse, vierte el agua y el vino blanco (uno rico!).	poco	HPROP
No obstante, por la cara que me puso, yo diria que mínimo tendría que haber tenido trabajo "full time" y más de 100,000 euros, no es el caso, pero si lo fuera, no creo que yo y tantos más solicitaran en la lotería de visados en busca de un mejor porvenir de futuro, teniendo "full time" y esa cantidad de dinero, es de sentido común.	diría	HREL
Si hubiera un campeonato mundial de frases estúpidas, sin duda sería ella nuestra atleta más importante.	sin duda	HREL
Entonces estamos parcialmente de acuerdo.	parcialmente	HPROP
Yo sólo digo que si al menos supiera que estoy excluída podria ir haciendo algo: reunir los papeles que me faltasen, etc. Pero estoy inscrita y nada más y así no hay manera de que una sepa los motivos de exclusión ni nada.	podría	HREL
probablemente en otro país tuviera que haberse labrado un futuro por si mismo.	probablemente	HREL
Es cierto que algunos no saben leer muy bien...	algunos	HPROP
, en ese mismo texto explica el contexto del "trajine": explica que las japonesas "rara vez tienen relación sexual fuera del matrimonio con japoneses" pero que con extranjeros sí.	rara vez	HPROP
Acaso, la cultura y costumbres del centro de Europa en los siglos XVI y XVII eran practicamente iguales a los del sur de Europa?	prácticamente	HPROP
Lo justo es que se necesitasen unos años de residencia antes de poder obtener las ayudas y deberia de ser lo mismo en toda Europa.	deberia	NH
vivo en reims...llevo justo un año,tal vez sea un poco tarde,pero bueno,si os apetece un dia,podriams quedar,yo vivo con mi novia ella,es de aki.bueno un saludo...	tal vez	HREL
deberia volverme a España?	deberia	NH
A lo que me vino a la cabeza la situación vivida hacía un par de minutos con el papel del Anmeldung por lo que se me escapó una ligera sonrisa.	un par	HPROP
&lt;---- por si alguien sabe de alguna cosa y se kiere poner en contacto conmigo.	alguna	HPROP
Ábrela cuando nazca tu hijo (o cuando estés lo suficientemente recuperada - sorry, no entiendo de tema postparto- para pegarle un buen lingotazo con tu marido).	entiendo	NH
Aquí también hay quien recurre a ese más que tópico en estos día de hoy, sobre todo cuando los que más lo utilizan son todos con apellidos españoles, que siguen saqueando a sus conciudadanos, igual que hicieron sus tatarabuelos.	hay quien	HPROP
Por lo que yo sugiero los acompanantes:	sugiero	HREL
Quizas haya un fuerte sentimiento nacionalista por ejemplo en Mallorca (por decir algo), pero no creo que su idea sea dejar la orbita de España para pasar a la de Cataluña o X.	por decir algo	HPROP
Cuando empezamos a escribir en un foro, no nos damos cuenta pero acabamos estableciendo relaciones más personales con gente a la que leemos a diario, y con la que nos cruzamos a diario...probablemente a algunos llegaremos a conocerlos algún día, pero a la mayoria no....pero es sorprendente ver que si tienes un problema, hay gente que te va a ayudar más que tus propios amigos.	la mayoría	HPROP
Es suya, seguro.	seguro	HREL
Vivo cerca de Dinamarca y, si bien es cierto que los trámites son menores, sale bastante más caro... además del desplazamiento, etc	bastante	HPROP
Jaja, nico, generalmente los problemas se reducen a pagar más.	generalmente	HPROP
Qué bonito, estoy por comprar un pino en el carrefour y plantarlo en medio del parking.	medio	NH
Hay trabajos que es cierto que es relativamente facil encontrar un puesto, pero yo soy educadora social, y de lo que más trabajo en españa es de camarera, y puedo decir que tengo suerte, porque conozco gente que no encuentra ni de eso, por ejemplo mi hermano, que por cierto, ahora ha comenzado a trabajar, y gana menos que cogiendo el paro, podria coger el 50% de paro y ha preferido pararlo, para cuando termine su contrato verse con dinero aunque sea un mes o dos más.	relativamente	HPROP
Digo con datos porque igual que yo lo sabía sin duda lo sabían los medios pero no pueden publicar nada si no hay "algo" para respaldarlo.	sin duda	HREL
Yo tengo la Sparkasse guiada por el movimiento masa de que aparentemente se ven más sucursales que de otras.	aparentemente	HPROP
supongo que esto ya lo has visto, no?	supongo	HREL
imagino que allí no llegarán las chirigotas ( una lástima), pero quería saber si son más nocturnos, de fiesta en plan disfrazarse, beber y chin chin pum para la gente joven... O son más diurnos con actividades para padres y críos (desgraciadamente ese último es mi plan este año, ¿o quizás afortunadamente?, no lo se)	imagino	HREL
Con respecto al País Vasco, creo que te falta historia para entender por qué allí hay MIEDO.Sólo por ponerte un ejemplo, si naces en un pueblo donde el 80% por decir algo son terroristas y familiares de terroristas, qué vas a decir?.	por decir algo	HPROP
