hedge,sentence,usage1,usage2
"bastante","Veo que te preocupa <strong>bastante</strong> lo de la lluvia.","Hay bastante trabajo por hacer.","Otro"
"quiza","Yo de momento ya he enviado 3...Al final por ser pesados, <strong>quiza</strong> tengan ganas de abrirlo pronto y olvidarse""","Quizá sea mejor que hablemos con tu familia.","Otro"
"por decir algo","No estaria describiendo uno en Idaho, <strong>por decir algo</strong>....","Podrías salir a comer, por decir algo.","Castigaron a Manuel por decir algo ofensivo."
"mas o menos","Tengo una prima (tengo unos 40 primos, <strong>mas o menos</strong>) que consiguio un trabajo en Burger King (BK), y lo dejo a la semana porque ""tenia que coger el bus"" y ""olia a hamburguesa"".","Me dijeron más o menos qué tengo que hacer.","Usa más o menos azúcar de acuerdo a tu gusto."
"suena","En este pueblo, a los blancos los cuentas con los dedos de una mano (y me da que sobran dedos)y podría seguir!!! Reynosa no me <strong>suena</strong>, pero me da que estas de mierda al cuello como yo, no?","Tu idea me suena bien.","Las bocinas suenan demasiado fuerte."
"encuentro","Bueno,a ver cuando vaya a Nashville si lo <strong>encuentro</strong> alli..","Lo encuentro un poco cuestionable.","Me encuentro en casa de María."
"deberias","De hecho, hasta dentro de tres annos yo no podría pedir la residencia en noruega (o menos, no lo se) pero nunca dejaré de ser espagnol... y por tanto nunca debería dejar de tener cobertura sanitaria... Así que si me la quitan, es porque esta ligada a cotización... y yo he pagado 17 annos de cotización a la seguridad social... En todo caso, la han cagado por no hacer una ley mas concisa sobre el tema, pese a que, como ya he dicho antes, tiene una logica aplastante el que si no cotizas en Spania, no <strong>deberias</strong> de tener SS... siendo extranjero.","Deberías considerar otra solución.","Tu deberías imaginar un mundo sin violencia."
"principalmente","Mediocre es un país donde sus habitantes pasan una media de 134 minutos al día frente a un televisor que muestra <strong>principalmente</strong> basura.","El orégano se usa principalmente como condimento.","Otro",""
"deberia","Bueno de la ESO ya se <strong>deberia</strong> de salir con un poquito de soltura...","Debería ser difícil para tu familia.","La casa debería construirse en dos semanas."
"virtualmente","isra es que tienes mentalidad de danés de el cuerpo humano es lo que hay,y al fin y al cabo,estamos <strong>virtualmente</strong> en España.","Es virtualmente imposible cruzar el valle caminando.","Yo me comunico virtualmente a través de mi computadora."
"imagino","Yo intentaré cambiar de curro para currar en una estación de esquí o muy cerca, a parte de whistler......que otras estaciones me recomendáis para currar, <strong>imagino</strong> que por banff, algún otro lado?","Imagino que hay que actuar cuanto antes.","Imagino un mundo sin violencia."
"aparentemente","Pregunta dentro de unos años y veremos a ver que te puedo decir, pero realmente cuando he vuelto de EEUU a España note un cambio, y eso que vivia en Madrid, ahora de nuevo aqui, lo vuelvo a notar, no se si a mejor o a peor, pero EEUU es un pais ""<strong>aparentemente</strong>"" fuerte y no dependiente o tan dependiente...","Aparentemente habrá un concierto esta tarde.","Otro"
"espero","<strong>espero</strong> que sigas con esa ilusión intacta mucho tiempo.","Espero que todo salga bien.","Espero una respuesta antes del Lunes."
"medio","Las de coca cola hasta un litro y <strong>medio</strong> caben, las de dos ya no, las de Pepsi tienen un simbolito que indica que esas tienes que entregarla en la caja.","Juan está medio loco.","Mi asiento es el de en medio."
"considero","¿Por qué crees saber lo que yo me <strong>considero</strong> o no? La que ha empezado a decir ""a mí me ha pasado tal cosa o tal otra"" precisamente no he sido yo.","Yo considero que sería mejor esperar.","Considero a Manuel como mi mejor amigo."
"podrias","matar al toro es un arte hazlo tu, no <strong>podrias</strong> por que no as estudiado este arte, estudia pintura y pintaras, estudia la carrera que quieras y lo comprenderás, sabrás hacerlo bien y bien con el toro delante es con el capote, espada, movimientos y estrategias que conllevan","Podrías considerar otra solución.","Tú podrías imaginar un mundo sin violencia."
"generalmente","Vamos, que los profesores se lo curran para que aprendamos (aunque también hay alguna excepción, pero <strong>generalmente</strong> es así), pero eso a un profesor de más de 40 años en España no se lo puedes pedir, por Dios.","Generalmente no salgo los jueves por la tarde.","Otro"
"necesariamente","Aquí el autor del maldito hilo :-D Si pudiera editar el titulo del hilo, lo haría, para obviar la palabra ""xenófoba"", que por cierto, no <strong>necesariamente</strong> implica odio, sino también rechazo, aversión, etcétera, que son las reacciones que estas chorradas del día a día me producen mientras me acostumbro.","No necesariamente lloverá esta tarde.","La ciencia política está necesariamente conectada a la economía."
"por decir algo","<strong>por decir algo</strong>.","Podrías salir a comer, por decir algo.","Castigaron a Manuel por decir algo ofensivo."
"basicamente","te dire que mis objetivos son esos y en ese orden <strong>basicamente</strong>,primero la habitacion en frankfurt, despues buscar la academia para estar al menos el primer mes machando mi alemán y casi a la vez qeu esto segundo buscar un trabajo para mantenernos.","La película es básicamente una parodia.","Otro"
"algun","¿<strong>algun</strong> bar donde reunirse?","Algún lápiz habrá caído por la abertura.","Otro"
"supongo","Pero eso no quita que eche de menos a mi familia y amigos, que cada vez que voy se me hacen cortos los dìas, que siempre que vuelvo me digo: la pròxima vez me quedo unas semanas... <strong>supongo</strong> que es normal.","Supongo que hay que esperar.","Yo no supongo nada para la comunidad."
"asumo","Ya sé que no me estarán esperando en el aeropuerto,etc, esas cosas las llevo claras y <strong>asumo</strong> que me quiero ir a un país donde no tenemos en principio Visado de Trabajo.","Yo asumo que me darán un aumento.","Yo asumo la posición de director."
"necesariamente","La cuestión que antes planteaba se resolvería en gran medida con la habilitación de consultas populares referente a cuestiones que no deberían formar parte <strong>necesariamente</strong> de un programa de gobierno.","No necesariamente lloverá esta tarde.","La ciencia política está necesariamente conectada a la economía."
"algunos","Tengo <strong>algunos</strong> planes en la cabeza, que quizas a alguien le interesen: Ir al circuito de Silverstone a conducir un monoplaza, probar el paracaidismo indoor que hay en Milton Keynes, ir a ver un ""proper English football match"" (al Arsenal, por ejemplo) :)","Algunos dicen que murió ahogado.","Otro"
"imagino","A la mañana siguiente el tio este empezo a contar a algun ciber amigo mediante skype (me <strong>imagino</strong>, pues ni tenia movil) ''AYER MIENTRAS ME DUCHABA ME HICE CAQUITIS (literalmente) LA COJI CON LA MANO Y LA DESPEDECE Y SE CAYO POR EL DESAGUE, ERA TAN GRACIOSO VER COMO LOS GUISANTES DEL ARROZ TRES DELICIAS AUN SEGUIAN INTACTOS AHI DENTRO...''","Imagino que hay que actuar cuanto antes.","Imagino un mundo sin violencia."
"principalmente","Detrás de ese patrón de comportamiento está <strong>principalmente</strong> el rol que la sociedad patriarcal espera de un conductor ""macho"": ser impulsivo, dominante (al menos en apariencia), líder, agresivo, arriesgado, etc. Conducir un coche grande, potente, deportivo e ir al límite...","El orégano se usa principalmente como condimento.","Otro",""
"quien sabe","Lo digo ""medio"" en broma, oye, <strong>quien sabe</strong>...","Quién sabe si esto funcione.","¿Quién sabe cómo resolver este problema?"
"confio","Pues yo confieso que <strong>confio</strong> plenamente en mi padre, que es quien tiene un poder general.","Yo confío en que todo saldrá bien.","Confío el ciudado de mis hijos a José."
"podria","Como mi idea es quedarme más tiempo en Miami, y si es posible encontrar algún trabajo, agradecería si alguien <strong>podria</strong> orientarme en este aspecto, que tipo de visado tendría que solicitar para la próxima vez que venga, o que trámites podría ir haciendo ya desde aquí, etc..","Esta ruta podría ser peligrosa.","Yo podría imaginar un mundo sin violencia."
"confio","La asociación civil, con la cual me he puesto en contacto es: CENTRO ECOLÓGICO LOS CUARTOS o también llamada FUNDACIÓN MIGUEL ANGEL BARBERENA VEGA,  por lo que he averiguado gracias a la Asociación <strong>confio</strong> de México, o el CEMEFI se trata de una ONG muy transparente ya que aparece como nivel óptimo, en el directorio del Centro Mexicano de Filantropía.","Yo confío en que todo saldrá bien.","Confío el ciudado de mis hijos a José."
"probablemente ","Quien critica el circuito de Valencia es que no tiene ni puta idea de lo que habla...<strong>probablemente </strong>con Singapur y Spa es de lo mejor que tiene la F1 y como circuito es precioso... Puestos a hablar de cacas hablemos de Montmeló que es un COÑAZO y de una afición inexistente que si en lugar de estar a 2 horas de Francia hubiera estado a seis hubieramos visto como el segundo GP de Francia (que como es fue como nació) se disputaria en andorra.... Asi que menos paridas y prepotencias","Probablemente sea mejor que hablemos con tu familia.","Otro"
"podrias","@Fargo y no <strong>podrias</strong> haber metido esto en el foro de ""TV, cine, radio y prensa""?","Podrías considerar otra solución.","Tú podrías imaginar un mundo sin violencia."
"principalmente","Claro se valora el costo de vida en general, <strong>principalmente</strong> el precio del alquiler.","El orégano se usa principalmente como condimento.","Otro",""
"frecuentemente","Es un intervalo en el que estás vendido y que se da muy <strong>frecuentemente</strong>).","Mis padres me visitan frecuentemente.","Otro"
"confio","De todas formas ya verás que Cph es una ciudad bastante amable, <strong>confio</strong> en que no tendrás ningún problema ;).","Yo confío en que todo saldrá bien.","Confío el ciudado de mis hijos a José."
"seguramente","Roma es efectivamente muy cara, <strong>seguramente</strong> un mini-apartamento bien conectado con medios de transporte y en una zona màs o menos buena no lo pagaràs menos de 600 euros, y 600 es ya un precio que te costarà encontrar.","El evento seguramente será un éxito.","Las contraseñas nos permiten navegar la red seguramente."
"seguro","Si vives en Alemania te tendrás que empadronar en un sitio, eso significa que eres residente, y eso significa que seguramente el seguro español de tu coche se desentienda de ti si tienes algún percance, a no ser que tengas permiso expreso para circular por Alemania de dicho <strong>seguro</strong>.","El evento seguro será un éxito.","No es seguro caminar por estas calles."
"practicamente","Cuando vivía en Madrid mi relación con mis amigos que viven en Andalucía era <strong>practicamente</strong> como ahora.","La película es prácticamente una parodia.","Otro"
"a veces","Es muy molesto y <strong>a veces</strong> si la persona es muy sensible pero muy necesario por que puedes perder no solo piezas sino tambien puede llegar a retraerse la encia.","A veces puedo ser un poco molesto.","Otro"
"encuentro","he escuchado algo de eso de los hoteles pero he estado buscando informacion y no <strong>encuentro</strong> nada","Lo encuentro un poco cuestionable.","Me encuentro en casa de María."
"poco","animooo, que poco a <strong>poco</strong> van saliendo las cosas","Sería poco prudente hablarle de esa manera.","Hay poco entusiasmo en el público."
"siento","Es una elucubración, pero vamos podría ser, y lo dicho, sin saber todas las razones, lo <strong>siento</strong>, pero creo que no va a llegar a mucho.","Siento que podríamos trabajar más a fondo.","Siento un dolor fuerte en el estómago."
"propongo","Para terminar, <strong>propongo</strong> un dia, que podria ser.. Mañana estaria bien, pero es muy precipitado, y el lunes tengo entendido que es Bank Holiday (corregidme si me equivoco, porque significa que tengo que ir a la academia!!)... ¿El miercoles os viene bien?","Propongo que esperemos unos momentos.","Propongo una reforma energética a nivel nacional."
"alguien","Con una tabla completa una media-maratón hasta <strong>alguien</strong> como yo ;) (ex fumadora y ex-couchpotatoe)","Alguien tendrá que limpiar este desastre.","Yo soy alguien en quien confiar."
"particularmente","Eso fue un comentario fuera de lugar que hizo la ""Posh"".A mi <strong>particularmente</strong> no me molestó porque me gusta el olor a ajo.","Esto no es particularmente divertido.","Otro"
"rara vez","Y bueno...pues que <strong>rara vez</strong> salimos, por no decir nunca.","Rara vez ceno en ese restaurante.","Otro"
"alguno",", estar pensando desde el primer día en que la pareja se va a romper es como mentar la soga en casa del herrero que decía <strong>alguno</strong>.","Pedro no dejó rastro alguno.","Otro"
"puede","<strong>puede</strong> que en parte se pueda tratar de diferencias culturales, pero es obvio que tu suegra esta celosa de ti y no te puede ver, ya que todo el mundo, sea de la nacionalidad que sea, entiende que al tener otra cultura (mediterránea frente a nórdica) vas a tener diferentes costumbres y tradiciones, y ambas partes tienen que hacer un esfuerzo por adaptarse para poder convivir.","Esta ruta puede ser peligrosa.","José puede entrar gratuitamente por ser un estudiante."
"alguien","<strong>alguien</strong> podría recomendarme alguna residencia que valga la pena?","Alguien tendrá que limpiar este desastre.","Yo soy alguien en quien confiar."
"frecuentemente","Aunque nunca se encontrarán todas las generaciónes, porque que un animal quede fosilizado no es algo que suceda muy <strong>frecuentemente</strong>, así que siempre quedarán huecos.","Mis padres me visitan frecuentemente.","Otro"
"encuentro","si, los A6 salen toda la noche desde Victoria Station (london) a Stansted... pero el problema es de Romford a Stansted no <strong>encuentro</strong> nada directo....habria que mirar quizas de Romford a Victoria Station en National Express y luego de alli otro bus a Stansted... igual sale mejor y mas barato que el tren Romford-Liverpool St Station (london)-Stansted Airport....","Lo encuentro un poco cuestionable.","Me encuentro en casa de María."
"esencialmente","Ello afecta <strong>esencialmente</strong> al sector de dirección o incluso a cuadros medios.","La película es esencialmente una parodia.","Otro"
