hedge,hedge_gold,hedge_gold_reason,sentence,usage1,usage2
"frecuentemente","","","-En cambio,el pensante cerebro humano tiene la capacidad de enriquecer el contenido de las informaciones con las cuales razona,haciendo que <strong>frecuentemente</strong> sus conclusiones superen con mucho a las premisas que le sirven de punto de partida...","Mis padres me visitan frecuentemente.","Otro"
"siento","","","No, lo <strong>siento</strong>, tú eres una sabandija y tendrás el destino de las sabandijas.","Siento que podríamos trabajar más a fondo.","Siento un dolor fuerte en el estómago."
"a veces","","","Y <strong>a veces</strong> aunke no logico te gana le sentimiento al pensar y dejas la razon a un lado, no por justificarlo tampoco...","A veces puedo ser un poco molesto.","Otro"
"parcialmente","","","Para sobrevivir una persona necesita sustentar las necesidades básicas de alimentación, salud, vestido y salubridad, el 80% de la población peruana no puede sustentar sus necesidades básicas o lo hace <strong>parcialmente</strong>, por lo que se dividen entre la pobreza y extrema pobreza.","Lo que dices es parcialmente verdadero.","Otro"
"entiendo","","","Pos yo  no se,  ni <strong>entiendo</strong> de qué se escandaliza usted, si el 16 de septiembre festejamos con bombo y platillos, con fuegos artificiales y con balas disparadas al cielo,  con intenciones hasta de matar al criador,   a un cura genocida que gritó que había que colgar a todos los gachupines que se encontraran en la Nueva España","Entiendo si no puedes asistir a mi fiesta.","Yo entiendo la tarea de matemáticas."
"deberias","","","Creo que más allá de darte un tiempo con él, <strong>deberias</strong> pensar, muy seriamente si eso es lo que quieres.","Deberías considerar otra solución.","Tu deberías imaginar un mundo sin violencia."
"reducido","","","<strong>reducido</strong> el poderío de la escuadra peruana prácticamente al de un solo blindado, el monitor Huáscar, al mando del Almirante Miguel Grau, éste consigue contrarrestar a la poderosa armada chilena, que finalmente logra darle caza el8 de octubre, frente a punta Angamos.","El espacio para convivir es reducido.","Los fondos para el arte se han reducido."
"casi","","","Una vez dada la alerta sobre el tiroteo, otras escuelas cercanas, así como el Colegio Comunitario Arapahoe y varios centros comerciales permanecieron cerrados durante <strong>casi</strong> dos horas, hasta que el alguacil Robinson indicó que ya había pasado el peligro.","Ya casi no hay librerías en el pueblo.","Casi llego tarde a la junta."
"mas o menos","","","La creencia en la existencia en un dios depende <strong>mas o menos</strong> un tanto por ciento en la fe que tu tengas sobre ese hecho y un tanto por ciento en el razocinio, la creencia en la no existencia de un dios yo dirìa que es exactamente lo mismo.","Me dijeron más o menos qué tengo que hacer.","Usa más o menos azúcar de acuerdo a tu gusto."
"usualmente","","","Le dan bastante enfoque a las Finanzas (se podria decir que son los mejores en esta area), por eso el hecho de que casi siempre quedan primeros en los cursos de la SBS y/o de la BVL, esto (supongo) que se podria deber a que varios de sus profesores son economistas con MBA (basta revisar su plana docente), lo cual no esta mal ya que cursos como Finanzas, Evaluacion de Proyectos, Gestion Financiera, entre otros son <strong>usualmente</strong> dictados por profesores con esos grados (Lic.","Usualmente no salgo los jueves por la tarde.","Otro"
