"la mayoria","Cuando empezamos a escribir en un foro, no nos damos cuenta pero acabamos estableciendo relaciones más personales con gente a la que leemos a diario, y con la que nos cruzamos a diario...probablemente a algunos llegaremos a conocerlos algún día, pero a <strong>la mayoria</strong> no....pero es sorprendente ver que si tienes un problema, hay gente que te va a ayudar más que tus propios amigos.","La mayoría de ustedes me conoce.","Otro"
"casi","Ultimamente hay inmolaciones <strong>casi</strong> a diario...La jihad hace bien su trabajo..","Ya casi no hay librerías en el pueblo.","Casi llego tarde a la junta."
"algo","Esto significa que la apuesta es DOBLE (en realidad, <strong>algo</strong>) o NADA (en realidad, menos de nada).","La situación es algo delicada.","Vi que algo se movía ayer por la noche."
"debe","Es subir por la tarde a casa los viernes y oirla, algo asi como Oishy,Oishy que <strong>debe</strong> ser rico,rico o lo que sea, y luego ahhh, ahhhh, ahhhh, y como que se rie, es un poco raro, pero es que no estoy familiarizada con los rituales de apareamiento japoneses, aunque su novio es alemán.","Debe de ser difícil para tu familia.","La casa debe construirse en dos semanas."
"raramente","Ahora, una cosa también es cierta: quí los perros están super bien educados, <strong>raramente</strong> se te acercan cuando vas de paseo ni te molestan.","Raramente ceno en ese restaurante.","Otro"
"un par","A lo que me vino a la cabeza la situación vivida hacía <strong>un par</strong> de minutos con el papel del Anmeldung por lo que se me escapó una ligera sonrisa.","Tengo un par de sugerencias.","La tercia vence al par en un juego de póquer."
"tecnicamente","<strong>tecnicamente</strong>, el sistema bancario espanyol esta quebrado, si se mantiene con el dinero publico o con lo que vende espanya en bonos...que al final pagamos entre todos...","Técnicamente no es una respuesta correcta.","Los resultados del estudio son técnicamente precisos."
"deberia","Bueno de la ESO ya se <strong>deberia</strong> de salir con un poquito de soltura...","Debería ser difícil para tu familia.","La casa debería construirse en dos semanas."
"propongo","Para terminar, <strong>propongo</strong> un dia, que podria ser.. Mañana estaria bien, pero es muy precipitado, y el lunes tengo entendido que es Bank Holiday (corregidme si me equivoco, porque significa que tengo que ir a la academia!!)... ¿El miercoles os viene bien?","Propongo que esperemos unos momentos.","Propongo una reforma energética a nivel nacional."
"quien sabe","Lo digo ""medio"" en broma, oye, <strong>quien sabe</strong>...","Quién sabe si esto funcione.","¿Quién sabe cómo resolver este problema?"
"gran parte","Antiguamente la mayoría de los turistas traían su divisa y la cambiaban en los hoteles, bancos... es decir, daban beneficios a trabajadores que ahora ya <strong>gran parte</strong> se han quedado sin trabajo, a parte de que se gastaban mucho más sin darse cuenta, por el tipo de cambio, te lo dice uno que trabajo con pesetas y euros, menudo cambio!!!","Una gran parte de ustedes me conoce.","Otro"
"sugiero","Por lo que yo <strong>sugiero</strong> los acompanantes:","Sugiero que esperemos un momento.","Sugiero y evoco recuerdos de la infancia al tocar el piano."
"un poco","Prefiero pensar eso y comprar uno <strong>un poco</strong> mas caro.","Es un poco atrevido hablarle de esa manera.","Preparé un poco de pollo para la comida."
"relativamente","Hay trabajos que es cierto que es <strong>relativamente</strong> facil encontrar un puesto, pero yo soy educadora social, y de lo que más trabajo en españa es de camarera, y puedo decir que tengo suerte, porque conozco gente que no encuentra ni de eso, por ejemplo mi hermano, que por cierto, ahora ha comenzado a trabajar, y gana menos que cogiendo el paro, podria coger el 50% de paro y ha preferido pararlo, para cuando termine su contrato verse con dinero aunque sea un mes o dos más.","Esto debería de ser relativamente sencillo.","Otro"
"frecuentemente","Es un intervalo en el que estás vendido y que se da muy <strong>frecuentemente</strong>).","Mis padres me visitan frecuentemente.","Otro"
"entiendo","Ábrela cuando nazca tu hijo (o cuando estés lo suficientemente recuperada - sorry, no <strong>entiendo</strong> de tema postparto- para pegarle un buen lingotazo con tu marido).","Entiendo si no puedes asistir a mi fiesta.","Yo entiendo la tarea de matemáticas."
"seguro","Si vives en Alemania te tendrás que empadronar en un sitio, eso significa que eres residente, y eso significa que seguramente el seguro español de tu coche se desentienda de ti si tienes algún percance, a no ser que tengas permiso expreso para circular por Alemania de dicho <strong>seguro</strong>.","El evento seguro será un éxito.","No es seguro caminar por estas calles."
"creo","no <strong>creo</strong> ke sea cuestion de paises, si no mas bien de personas... da iwal ke estés en china como en España!! la gente es iwal de apañá","Yo creo que hay que esperar.","Yo creo en la resurrección de Jesucristo."
"bastantes","Mírate en Google ""fraudes científicos""... precedentes hay <strong>bastantes</strong> como para no creer en alguien ciegamente.","Hay bastantes cosas por hacer.","Otro"
"parcialmente","Entonces estamos <strong>parcialmente</strong> de acuerdo.","Lo que dices es parcialmente verdadero.","Otro"
