hedge,sentence,usage_a,usage_b,gold,hedge_gold
"por decir algo","(<strong>por decir algo</strong>) tu espiritu está más elevado que si eres un hombre sucio, descuidado, irascible, e impaciente.","Podrías salir a comer, por decir algo. (sugerencia)","Castigaron a Manuel por decir algo ofensivo. (acción)",FALSE,FALSE
"sugiero","""No creo que Dios quiera exactamente que seamos felices, quiere que seamos capaces de amar y de ser amados, quiere que maduremos, y yo <strong>sugiero</strong> que precisamente porque Dios nos ama nos concedió el don de sufrir; o por decirlo de otro modo: el dolor es el megáfono que Dios utiliza para despertar a un mundo de sordos; porque somos como bloques de piedra, a partir de los cuales el escultor poco a poco va formando la figura de un hombre, los golpes de su cincel que tanto daño nos hacen también nos hacen más perfectos.""","Sugiero que esperemos un momento. (juicio)","Sugiero y evoco recuerdos de la infancia al tocar el piano. (indirectamente)",FALSE,FALSE
"espero","Ésta frase es la justificación de por qué lo que has dicho es demagogia, <strong>espero</strong> la tuya.","Espero que todo salga bien. (posibilidad)","Espero tu respuesta antes del Lunes. (orden)",FALSE,FALSE
"raramente","sin embargo, la pregunta “¿quién es X?”, era por aquel entonces una pregunta que <strong>raramente</strong> se refería a un pensador; lo sigue siendo, de no entenderse en un sentido biográfico trivial: el hombre y la obra, el hombre que se encuentra tras su obra, la vida de Descartes o de Hegel vinculadas a una especie de doxografía.","Raramente ceno en ese restaurante.","Otro",FALSE,FALSE
"imagino","La verdad es que no se porque piensas eso, si bien es verdad que he dado muestras de que soy de izquierdas totalmente, tambien he dado muestras de que soy independiente de cualquier partido, aunque unos me resulten mas simpaticos que otros, cosa que me <strong>imagino</strong> que a ti tambien te ocurre","Imagino que hay que actuar cuanto antes. (juicio)","Imagino un mundo sin violencia. (capacidad)",FALSE,FALSE
"bastante","Por supuesto todo esto es a nivel teórico, y si, como comento es <strong>bastante</strong> idealista, pero prefiero este tipo de teorías utópicas a determinismos o relativismos morales.","Hay bastante trabajo por hacer.","Otro",FALSE,FALSE
"seguido","Dice usted que no será dogmatica y a reglón <strong>seguido</strong>,articula ua serie de dogmas indiscutibles.","Mis padres me visitan muy seguido.","Otro",FALSE,FALSE
"entiendo","Si <strong>entiendo</strong>, pero cuando se trata de lucha y de guerra siempre he utilizado ""mejor"" como sinonimo de ventaja/estrategia.","Como yo lo entiendo, me quedaré en tu casa mañana. (juicio)","Yo entiendo la tarea de matemáticas. (comprensión)",FALSE,FALSE
"a veces","Las cosas no tiene ningun sentido hasta el momento en que nosotros encontramos respuestas a estas preguntas, pero <strong>a veces</strong> uno no se detiene a preguntarse el porque de las cosas, a veces uno simplemente actua o las cosas simplemente pasan y ya mas adelante se pregunta ""Por que hice eso?"" ""Para que hice eso?"" ""Por que paso eso?"" ""Para que sirve eso?.","A veces puedo ser un poco molesto.","Otro",FALSE,FALSE
"reducido","El control se ejerce cuando el rebaño se siente <strong>reducido</strong>, devalorizado e insignificante ante la capacidad sobrehumana de alguien.","El espacio para convivir es reducido. (pequeño, pero sin especificar)","Los fondos para el arte se han reducido. (disminuido; bajado)",FALSE,FALSE
"casi","yo estoy <strong>casi</strong> de acuerdo.","Casi no hay librerías en el pueblo. (se desconoce la situación)","Casi llego tarde a la junta. (se conoce la situación)",FALSE,FALSE
"gran parte","Yo creo que todos (o al menos <strong>gran parte</strong> de nosotros) fuimos hechos para ALGO.","Una gran parte de ustedes me conoce.","Otro",FALSE,FALSE
