_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,hedge,hedge:confidence,orig_hedge,hedge_gold,sentence,usage1,usage2
589156210,true,golden,4,"",yes,1.0,sin duda,yes,"Buena gesta la de este soldado <strong>sin duda</strong>, gran valentía y amor a su nación independientemente de si fuese NSDAP o no, ya que hay que tener mucho valor y sangre fría para actuar así cuando las cosas están jodidas...",Sin duda el evento será un éxito.,"Al terminar la clase, quedé sin duda alguna sobre el material."
589156211,true,golden,3,"",yes,1.0,quien sabe,yes,"Pero quizá, en una novela posterior incluyó a Carlos Espa, <strong>quien sabe</strong>...",Quién sabe si esto funcione.,¿Quién sabe cómo resolver este problema?
589156212,true,golden,4,"",no,0.5013,reducido,yes,"uff pues de plano no, pero si nos referimos a cometer ese acto de infidelidad pues no es un mito... debe de haber hombres fieles, mas me imagino que en un numero muy muy <strong>reducido</strong>, digamos un 1% fiel contra un 99% infiel ?",El espacio para convivir es reducido.,Los fondos para el arte se han reducido.
589156213,true,golden,7,"",yes,1.0,suena,yes,Suena bonito ¿no? pero lamentablemente solo <strong>suena</strong> bonito...ya que no es cierto.,Tu idea me suena bien.,Las bocinas suenan demasiado fuerte.
589156214,true,golden,3,"",yes,0.6774,mas o menos,yes,Si tomas un carro de fiori esta <strong>mas o menos</strong> 40 soles (en fecha de no fiesta) y para fiestas patrias sube hasta 100 soles.,Me dijeron más o menos qué tengo que hacer.,Usa más o menos azúcar de acuerdo a tu gusto.
589156215,true,golden,2,"",no,0.5488,entiendo,no,"Pos yo  no se,  ni <strong>entiendo</strong> de qué se escandaliza usted, si el 16 de septiembre festejamos con bombo y platillos, con fuegos artificiales y con balas disparadas al cielo,  con intenciones hasta de matar al criador,   a un cura genocida que gritó que había que colgar a todos los gachupines que se encontraran en la Nueva España",Entiendo si no puedes asistir a mi fiesta.,Yo entiendo la tarea de matemáticas.
589156216,true,golden,6,"",no,0.6819,debe,no,"que todo tiene una causa, no podemos afirmar nada, la sociedad <strong>debe</strong> esperar",Debe de ser difícil para tu familia.,La casa debe construirse en dos semanas.
589156217,true,golden,5,"",yes,1.0,deberias,yes,"Creo que más allá de darte un tiempo con él, <strong>deberias</strong> pensar, muy seriamente si eso es lo que quieres.",Deberías considerar otra solución.,Tu deberías imaginar un mundo sin violencia.
589156218,true,golden,5,"",yes,1.0,considero,yes,<strong>considero</strong> que ya lo he explicado y como digo lo sigo viendo absurdo.,Yo considero que sería mejor esperar.,Considero a Manuel como mi mejor amigo.
589156219,true,golden,4,"",yes,0.5137,casi,yes,"Una vez dada la alerta sobre el tiroteo, otras escuelas cercanas, así como el Colegio Comunitario Arapahoe y varios centros comerciales permanecieron cerrados durante <strong>casi</strong> dos horas, hasta que el alguacil Robinson indicó que ya había pasado el peligro.",Ya casi no hay librerías en el pueblo.,Casi llego tarde a la junta.
589156220,true,golden,6,"",yes,1.0,seguramente,yes,<strong>seguramente</strong> que ya sucedió.,El evento seguramente será un éxito.,Las contraseñas nos permiten navegar la red seguramente.
589156221,true,golden,12,"",yes,1.0,se ve,yes,"Sii obio después de semejante desicion tan crucial; si es el segundo cargo mas importante del pais, ahi <strong>se ve</strong> que no es una desicion politica sino legal pues no hay intereses politiqueros ya que si fuera asi seria un costo politico que nadie quisiera asumir; ; lo que me pregunto es por que centran su queja en el procurador; la procuraduria es un organismo de control y eso que el hizo es legal, constitucional ahi no hay nada que hacer; habria que cambiar es la constitucion y no atacar al procurador.",Se ve como una propuesta interesante.,Su casa se ve desde la colina.
589156222,true,golden,3,"",yes,1.0,entiendo,no,Tampoco <strong>entiendo</strong> por qué los homosexuales tendrían mucho que hacer para lograr el respeto.,Entiendo si no puedes asistir a mi fiesta.,Yo entiendo la tarea de matemáticas.
589156223,true,golden,3,"",yes,1.0,espero,yes,"A don Felicísimo de la Torre también se le podrían pedir más explicaciones sobre sus puntos de vista a la hora de enjuiciar las declaraciones de Gustavo Bueno, y <strong>espero</strong> que cuando se entere de la existencia de estos Foros desarrolle su pensamiento (pediré que le manden un correo desde Este de Madrid).",Espero que todo salga bien.,Espero una respuesta antes del Lunes.
589156224,true,golden,5,"",yes,1.0,frecuentemente,yes,La uso <strong>frecuentemente</strong> y esta bien para mi.,Mis padres me visitan frecuentemente.,Otro
589156226,true,golden,4,"",yes,0.7424,se ve,no,"se critica lo que <strong>se ve</strong>, a Mouriñito se le criticó la desatención a los niños hasta el punto de que hubo 20 desmayados.",Se ve como una propuesta interesante.,Su casa se ve desde la colina.
589156227,true,golden,3,"",no,0.6702,algo,no,fijate slang que en forma personal no veo <strong>algo</strong> malo en que se llame este PRECIOSO SITIO foros mexico.,La situación es algo delicada.,Vi que algo se movía ayer por la noche.
