hedge,sentence,usage_a,usage_b,gold,hedge_gold
"debe","Es mejor ser temido que ser amado, pero desde luego nuna <strong>debe</strong> ser odiado.","Debe de ser difícil para tu familia.","La casa debe construirse en dos semanas.",FALSE,FALSE
"particularmente","Lo que quiero aclarar con todo esto es cual es la lectura que desde el materialismo filosófico (MF) se hace Platón y <strong>particularmente</strong> ""que hay de vivo y de muerto"" en la filosofía de Platón, desde el MF.","Esto no es particularmente divertido.","Otro",FALSE,FALSE
"aparentemente","Quisiera insistir en la situación mundial de hoy, en el contraste de Este y Oeste, que, <strong>aparentemente</strong>, es al mismo tiempo un contraste de tierra y mar.","Aparentemente habrá un concierto esta tarde. (parece que)","Otro",FALSE,FALSE
"aparentemente","Por eso, piensa Eliseo, que nosotros somos, <strong>aparentemente</strong>, tan míticos como los que defienden el indigenismo.","Aparentemente habrá un concierto esta tarde. (parece que)","Otro",FALSE,FALSE
"a veces","No es ni los costos -esencialmente- ni la producción lo que hace que un bien valga lo que vale... (pues aparte de los costos, <strong>a veces</strong>...) ES la subjetiva y objetiva demanda, la valorización en el mercado, en el intercambio de NO equivalentes de donde sale un beneficio: ""puede tener mucha demanda y por consiguiente puede encarecerla"", como dice Bueno.","A veces puedo ser un poco molesto.","Otro",FALSE,FALSE
"deberias","En fin...creo que <strong>deberias</strong> centrarte en la clonación tisular, de tejidos (he tenido que acudir a mi hijo para saber qué diablos era eso), y en concreto en las recomendaciones de joaquín Robles sobre la obrita de Bueno y muy en concreto en su página 125.","Deberías considerar otra solución.","Tu deberías imaginar un mundo sin violencia.",FALSE,FALSE
"probablemente ","Pienso que el historiador es consciente de esto, y que su intención no es sostener ninguna tesis, sino desprestigiar, periodísticamente, todo lo posible -ante unos lectores <strong>probablemente </strong>mucho más &lt;&lt;fundamentalistas democráticos&gt;&gt; y mucho más incultos de lo que pueda serlo él mismo -a la Segunda república, al progresismo dominante y hasta al Consejo de Europa.","Probablemente sea mejor que hablemos con tu familia.","Otro",FALSE,FALSE
"a veces","La ley que sujeta (que hace a los ""sujetos"") no es ley por hacer hombres ""libres"" y no sujetados, sino por todo lo contrario: que es ley porque en la medida en que lo es restringe la libertad y <strong>a veces</strong> la anula por completo casi.","A veces puedo ser un poco molesto.","Otro",FALSE,FALSE
"no se","Quien tenga conocimiento de esto, se preguntará sorprendido cómo somos capaces de soportarlo y cómo <strong>no se</strong> han saciado todavía de tales desmanes quienes los cometen, pero nosotros no tenemos a un Marco Emilio que libere al pueblo de tales desmanes y supersticiones, porque de un pueblo atontado nunca puede salir la virtud.","No sé si sea la mejor idea. (incertidumbre)","Esto no se puede hacer en menos de una hora. (negación)",FALSE,FALSE
"bastante","Chico, tienes un curioso concepto del mercado, pletórico o no Es como si uno estuviera obligado a mercar, a comprar o querer todo lo que esta en venta No se, yo me compre mi(s) casa(s): para vivir e irme de vacaciones compro libros, ordenador, muebles, algunos cuadros comida, ropa compro cine, teatro, prensa no consumo apenas tele y si musica (no toda la que se me ofrece sino que elijo) y no mucho más, pues soy <strong>bastante</strong> austero.","Hay bastante trabajo por hacer.","Otro",FALSE,FALSE
