hedge,sentence,usage1,usage2
"relativamente","Si no me equivoco están basados en Miami, y se concentran en mercados latinos <strong>relativamente</strong> pequeños.","Esto debería de ser relativamente sencillo.","Otro"
"alguien","A <strong>alguien</strong> le paso algo similar?","Alguien tendrá que limpiar este desastre.","Yo soy alguien en quien confiar."
"frecuentemente","-En cambio,el pensante cerebro humano tiene la capacidad de enriquecer el contenido de las informaciones con las cuales razona,haciendo que <strong>frecuentemente</strong> sus conclusiones superen con mucho a las premisas que le sirven de punto de partida...","Mis padres me visitan frecuentemente.","Otro"
"siento","No, lo <strong>siento</strong>, tú eres una sabandija y tendrás el destino de las sabandijas.","Siento que podríamos trabajar más a fondo.","Siento un dolor fuerte en el estómago."
"sin duda","Buena gesta la de este soldado <strong>sin duda</strong>, gran valentía y amor a su nación independientemente de si fuese NSDAP o no, ya que hay que tener mucho valor y sangre fría para actuar así cuando las cosas están jodidas...","Sin duda el evento será un éxito.","Al terminar la clase, quedé sin duda alguna sobre el material."
"espero","No es una explicacion muy cientifica, pero <strong>espero</strong> que te sirva para quedarte mas tranquilo que no sos el unico que le pasa jajaja","Espero que todo salga bien.","Espero una respuesta antes del Lunes."
"quien sabe","Pero quizá, en una novela posterior incluyó a Carlos Espa, <strong>quien sabe</strong>...","Quién sabe si esto funcione.","¿Quién sabe cómo resolver este problema?"
"principalmente","La pista es PESCCP&gt;  &gt;..............&lt;El secreto estaba en los Escolios II y III <strong>principalmente</strong>, situados en las páginas 184 y 189 respectivamente del PESCCP, y muy en concreto las páginas 190, 191, etcétera.","El orégano se usa principalmente como condimento.","Otro",""
"aparentemente","Pero, hasta el momento, no se ha comprobado su participación directa en los crímenes perpetrados por sus novios sicarios Por esta razón, el jefe de la Policía de La Libertad, coronel PNP Roger Torres Mendoza, indicó que en el teléfono móvil de Gringasha, se leen mensajes en los que <strong>aparentemente</strong> se dan cuenta sobre presuntos actos delictivos, información que ya está en manos de la Fiscalía y se espera la decisión que tomen respecto de estos mensajes.","Aparentemente habrá un concierto esta tarde.","Otro"
"rara vez","no mi Galvan <strong>rara vez</strong> yo tomo cerveza mexa aca muy rara ni siquiera negra modelo, pero la semana pasada la niora pues me compro un seisito de corona y pues ni modo de decirle que no","Rara vez ceno en ese restaurante.","Otro"
"raramente","El obispo afirma que en la televisión sueca se limitó a dar ""una opinión de una persona que no es historiador, una opinión formada hace 20 años en virtud de los datos que entonces estaban disponibles, y que desde entonces había expresado <strong>raramente</strong> en público"".","Raramente ceno en ese restaurante.","Otro"
"gran parte","* Este artículo traduce en <strong>gran parte</strong> el correspondiente en inglés: [[1]]","Una gran parte de ustedes me conoce.","Otro"
"generalmente","DISTRIBUIDORA MARESO, opora en trujillo y <strong>generalmente</strong> solicita personal a nombre de otras empresas reconocidas (solicita con el interes de robar dinero?","Generalmente no salgo los jueves por la tarde.","Otro"
"practicamente","El color rubio platino es <strong>practicamente</strong> exclusivo del fenotipo Nordico  Si algunos se pintan el pelo de otro color como negro, azul, rosado, entre otros pero son muy pocos","La película es prácticamente una parodia.","Otro"
"por decir algo","Compara a esas marcas pero en vehículos del mismo segmento por ejemplo entre los que tengan motores de 1.6 litros <strong>por decir algo</strong>.","Podrías salir a comer, por decir algo.","Castigaron a Manuel por decir algo ofensivo."
"reducido","uff pues de plano no, pero si nos referimos a cometer ese acto de infidelidad pues no es un mito... debe de haber hombres fieles, mas me imagino que en un numero muy muy <strong>reducido</strong>, digamos un 1% fiel contra un 99% infiel ?","El espacio para convivir es reducido.","Los fondos para el arte se han reducido."
"deberia","<strong>deberia</strong> de haber un Torneo de eliminacion directa ida y vuelta... seria chido que resuciten la Copa INKA","Debería ser difícil para tu familia.","La casa debería construirse en dos semanas."
"suena","Suena bonito ¿no? pero lamentablemente solo <strong>suena</strong> bonito...ya que no es cierto.","Tu idea me suena bien.","Las bocinas suenan demasiado fuerte."
