segment	proposition	belief_type
Buena gesta la de este soldado [sin duda], gran valentía y amor a su nación independientemente de si fuese NSDAP o no, ya que hay que tener mucho valor y sangre fría para actuar así cuando las cosas están jodidas...	sin duda	HREL
Pero quizá, en una novela posterior incluyó a Carlos Espa, [quien sabe]...	quien sabe	HREL
uff pues de plano no, pero si nos referimos a cometer ese acto de infidelidad pues no es un mito... debe de haber hombres fieles, mas me imagino que en un numero muy muy [reducido], digamos un 1% fiel contra un 99% infiel ?	reducido	NH
Suena bonito ¿no? pero lamentablemente solo [suena] bonito...ya que no es cierto.	suena	HREL
Si tomas un carro de fiori esta [mas o menos] 40 soles (en fecha de no fiesta) y para fiestas patrias sube hasta 100 soles.	mas o menos	HPROP
Pos yo  no se,  ni [entiendo] de qué se escandaliza usted, si el 16 de septiembre festejamos con bombo y platillos, con fuegos artificiales y con balas disparadas al cielo,  con intenciones hasta de matar al criador,   a un cura genocida que gritó que había que colgar a todos los gachupines que se encontraran en la Nueva España	entiendo	HREL
que todo tiene una causa, no podemos afirmar nada, la sociedad [debe] esperar	debe	NH
Creo que más allá de darte un tiempo con él, [deberias] pensar, muy seriamente si eso es lo que quieres.	deberias	HREL
[considero] que ya lo he explicado y como digo lo sigo viendo absurdo.	considero	HREL
Una vez dada la alerta sobre el tiroteo, otras escuelas cercanas, así como el Colegio Comunitario Arapahoe y varios centros comerciales permanecieron cerrados durante [casi] dos horas, hasta que el alguacil Robinson indicó que ya había pasado el peligro.	casi	HPROP
[seguramente] que ya sucedió.	seguramente	HREL
Sii obio después de semejante desicion tan crucial; si es el segundo cargo mas importante del pais, ahi [se ve] que no es una desicion politica sino legal pues no hay intereses politiqueros ya que si fuera asi seria un costo politico que nadie quisiera asumir; ; lo que me pregunto es por que centran su queja en el procurador; la procuraduria es un organismo de control y eso que el hizo es legal, constitucional ahi no hay nada que hacer; habria que cambiar es la constitucion y no atacar al procurador.	se ve	HREL
Tampoco [entiendo] por qué los homosexuales tendrían mucho que hacer para lograr el respeto.	entiendo	HREL
A don Felicísimo de la Torre también se le podrían pedir más explicaciones sobre sus puntos de vista a la hora de enjuiciar las declaraciones de Gustavo Bueno, y [espero] que cuando se entere de la existencia de estos Foros desarrolle su pensamiento (pediré que le manden un correo desde Este de Madrid).	espero	HREL
La uso [frecuentemente] y esta bien para mi.	frecuentemente	HPROP
se critica lo que [se ve], a Mouriñito se le criticó la desatención a los niños hasta el punto de que hubo 20 desmayados.	se ve	HREL
fijate slang que en forma personal no veo [algo] malo en que se llame este PRECIOSO SITIO foros mexico.	algo	HPROP
Bueno yo veo al futbol en la forma artistica...como la musica.....pueden haber jugadores [tecnicamente] bien dotados pero si no hay sentimiento para mi no sirve....como aficionado claro esta; como DT la perspectiva cambia.	tecnicamente	NH
[suena] un tanto absurdo, algo asi como ke en tu jardin tienes frutas y como tu familia tiene problemas y son desunidos, pues voy te saco la gran p.. y me kedo con tu jardin para administrarlo debidamente y dejandoles a ti y a tu famila la oportunidad de reflexionar.	suena	HREL
Pero me [parece] que no lo consigue (da de lado el asunto en los siguientes mensajes).	parece	HREL
como usted dice es un ahorro forzado,pero cada uno debería ahorrar pero porque yo tengo que sacar de la mia ?? O en [algun] momento se le descuenta al trabajador?	algun	NH
el Sr. Franco superintendente de la escuela, dijo que los colegios han absorbido [aproximadamente] 50 estudiantes de México desde el año pasado, un incremento del 10% en matrícula.. Muchos de los nuevos estudiantes no hablan inglés y están tratándose el trauma del asesinato de sus familiares	aproximadamente	HPROP
-Ahora que la mujer trabaja, no [hay quien] se encargue de los ninos.	hay quien	HPROP
Simpatía infalible pero no se [puede] volver atrás	puede	NH
En este nuevo programa todos lo proveedores son locales al lugar donde dan los alimentos y es [virtualmente] imposible controlar eso, conociendo como es el peruano típico de corrupto no faltan los funcionarios que compran cosas malogradas o vencidas para tirarse la plata, o los proveedores que por ahorrar costos producen cualquier cosa en condiciones antihigiénicas.	virtualmente	HPROP
[no se] porque tiene que ser seguidor de alguno de los tres mequetrefes para votar por uno?	no se	HREL
Q1: alguien me dijo que [podria] tener un problema en la placa	podria	HREL
Veo que te preocupa [bastante] lo de la lluvia.	bastante	HPROP
"Yo de momento ya he enviado 3...Al final por ser pesados, [quiza] tengan ganas de abrirlo pronto y olvidarse"""	quiza	HREL
No estaria describiendo uno en Idaho, [por decir algo]....	por decir algo	HPROP
"Tengo una prima (tengo unos 40 primos, [mas o menos]) que consiguio un trabajo en Burger King (BK), y lo dejo a la semana porque ""tenia que coger el bus"" y ""olia a hamburguesa""."	mas o menos	HPROP
En este pueblo, a los blancos los cuentas con los dedos de una mano (y me da que sobran dedos)y podría seguir!!! Reynosa no me [suena], pero me da que estas de mierda al cuello como yo, no?	suena	HREL
Bueno,a ver cuando vaya a Nashville si lo [encuentro] alli..	encuentro	NH
De hecho, hasta dentro de tres annos yo no podría pedir la residencia en noruega (o menos, no lo se) pero nunca dejaré de ser espagnol... y por tanto nunca debería dejar de tener cobertura sanitaria... Así que si me la quitan, es porque esta ligada a cotización... y yo he pagado 17 annos de cotización a la seguridad social... En todo caso, la han cagado por no hacer una ley mas concisa sobre el tema, pese a que, como ya he dicho antes, tiene una logica aplastante el que si no cotizas en Spania, no [deberias] de tener SS... siendo extranjero.	deberias	HREL
