segment	proposition	belief_type
Suena bonito ¿no? pero lamentablemente solo suena bonito...ya que no es cierto.	suena	HREL
Sii obio después de semejante desicion tan crucial; si es el segundo cargo mas importante del pais, ahi se ve que no es una desicion politica sino legal pues no hay intereses politiqueros ya que si fuera asi seria un costo politico que nadie quisiera asumir; ; lo que me pregunto es por que centran su queja en el procurador; la procuraduria es un organismo de control y eso que el hizo es legal, constitucional ahi no hay nada que hacer; habria que cambiar es la constitucion y no atacar al procurador.	se ve	HREL
suena un tanto absurdo, algo asi como ke en tu jardin tienes frutas y como tu familia tiene problemas y son desunidos, pues voy te saco la gran p.. y me kedo con tu jardin para administrarlo debidamente y dejandoles a ti y a tu famila la oportunidad de reflexionar.	suena	HREL
Pero me parece que no lo consigue (da de lado el asunto en los siguientes mensajes).	parece	HREL
Valjean no estoy de acuerdo con que la verja no se debió de haber vuelto a abrir.	no se	NH
En cuanto Londres, es una ciudad que me gusta pero yo también prefiero un rollo Sabadell ( cerca de Barcelona pero con centros comerciales etc…) u otra ciudad mas Inglesa, barata y manejable, por lo dicho quiero aprender Ingles por parte de Ingleses, peeeeero el GRAN problema es que mi nivel de Ingles es intermediate hablo mas que entiendo, pero aun así es bajo, y mas como para trabajar cara al público, y como bien habéis dicho el trabajo va en función de tu Ingles así que creo que Londres en verano con los juegos olímpicos tendré mas posibilidades de trabajar en algo que no sea cara al publico que en una ciudad “pequeña”, que si me aseguran un trabajo donde sea voy!!	entiendo	NH
Tú tienes a tu hija, que no es un mueble!!! precisamente si dices que está perdiendo español podrias montarte un planning de refuerzo, buscar libritos en español en amazon o que te enviara alguien.	podrías	HREL
El puso una lechuga cortada (sin aliñar) y sacó dos botes de salsa barbacoa abiertos de quien sabe cuándo.	quién sabe	HREL
a mi nunca me ha salido tampoco, ahora...muy rara vez cierro la sesion, simplemente cierro la pagina o me voy a otra.	rara vez	HPROP
quien sabe, igual coincides en tus planes con alguien de spaniards que también quiera ir y podeis buscar algo junt@s.	quién sabe	HREL
Oye en Sevilla hay un par de sitios, en mi barrio, que pides la bandejita de fritos variados y te sientas en los veladores y cuando esta listo, te llaman por un altavoz, que arte :) "Pepe, ven por tu pescaito mi arma"	un par	HPROP
imagino que en Reunion venderan farmacos franceses, olvidate del Hemoal y pide Germoloids de Bayer XD	imagino	HREL
pues no naci en cuna, a los trece ya estaba trabajando y catorce horas todos los santos dias; conozco el problema de la inmigracion, ya que por los estudios que tengo, colabore muchos anios con Elche Acoge, una asociacion de ayuda al inmigrante, no todo vale y el fin no justifica los medios, tampoco defiendo a las grandes marcas, pero si al empresario medio, que es al que le estan haciendo mucho danio, no puede ni debe prevalecr el derecho de unos por encima del de otros, encima, cuando lo que hacen es aprovecharse de tu trabajo, hay otras formas...	medio	NH
-En cambio,el pensante cerebro humano tiene la capacidad de enriquecer el contenido de las informaciones con las cuales razona,haciendo que frecuentemente sus conclusiones superen con mucho a las premisas que le sirven de punto de partida...	frecuentemente	HPROP
No, lo siento, tú eres una sabandija y tendrás el destino de las sabandijas.	siento	HREL
Y a veces aunke no logico te gana le sentimiento al pensar y dejas la razon a un lado, no por justificarlo tampoco...	a veces	HPROP
Para sobrevivir una persona necesita sustentar las necesidades básicas de alimentación, salud, vestido y salubridad, el 80% de la población peruana no puede sustentar sus necesidades básicas o lo hace parcialmente, por lo que se dividen entre la pobreza y extrema pobreza.	parcialmente	HPROP
Pos yo  no se,  ni entiendo de qué se escandaliza usted, si el 16 de septiembre festejamos con bombo y platillos, con fuegos artificiales y con balas disparadas al cielo,  con intenciones hasta de matar al criador,   a un cura genocida que gritó que había que colgar a todos los gachupines que se encontraran en la Nueva España	entiendo	HREL
Creo que más allá de darte un tiempo con él, deberias pensar, muy seriamente si eso es lo que quieres.	deberías	HREL
reducido el poderío de la escuadra peruana prácticamente al de un solo blindado, el monitor Huáscar, al mando del Almirante Miguel Grau, éste consigue contrarrestar a la poderosa armada chilena, que finalmente logra darle caza el8 de octubre, frente a punta Angamos.	reducido	NH
Una vez dada la alerta sobre el tiroteo, otras escuelas cercanas, así como el Colegio Comunitario Arapahoe y varios centros comerciales permanecieron cerrados durante casi dos horas, hasta que el alguacil Robinson indicó que ya había pasado el peligro.	casi	NH
La creencia en la existencia en un dios depende mas o menos un tanto por ciento en la fe que tu tengas sobre ese hecho y un tanto por ciento en el razocinio, la creencia en la no existencia de un dios yo dirìa que es exactamente lo mismo.	más o menos	HPROP
Le dan bastante enfoque a las Finanzas (se podria decir que son los mejores en esta area), por eso el hecho de que casi siempre quedan primeros en los cursos de la SBS y/o de la BVL, esto (supongo) que se podria deber a que varios de sus profesores son economistas con MBA (basta revisar su plana docente), lo cual no esta mal ya que cursos como Finanzas, Evaluacion de Proyectos, Gestion Financiera, entre otros son usualmente dictados por profesores con esos grados (Lic.	usualmente	HPROP
Ya somos varios... y si cuesta...	varios	HPROP
yo vivo solo desde hace 10 años, aunque soy un poco irresponsable, trabajo cuando quiero, como lo que quiero, duermo hasta la hora que quiera, todos mis gastos los asumo yo, ahora estoy un poco mal de salud talvez algun dia muera	algun	NH
Ja "seguramente" esos cantantes de los paises del beisbol Panama y Rebublica Dominicana seguramente conocen muy buen la realidad del futbol peruano y sus hinchadas, y nadie les impuso nada sobre algun equipo jajajaj por eso son una voz autoridad para hablar de popularidad y grandeza jjajajajaj, y tu detalle con un afan provocativo lo de la "grandeza" pero bueno tu creencia la podrias crear tema para no desvirtuar aqui.	podrías	HREL
en esot ambien deberias madurar.	deberías	HREL
Pero suena como los republicanos pendejos de por aca ahi la va un poco de clases de socioeconomia	un poco	NH
Yo también he seguido Dragon Ball y sigo Naruto, y a decir verdad, por más que Naruto me parezca entretenido; Dragon Ball, por suma de diferentes factores; será el anime más popular que se ha dado; simplemente porque sigue en vigencia a pesar de sus capítulos repetidos y demás, de vez en cuando lo veo con mi sobrino y mi hermano mayor.	seguido	NH
Un público que, además, ha participado activamente en su desarrollo, en los coloquios que han seguido a cada exposición.	seguido	NH
se critica lo que se ve, a Mouriñito se le criticó la desatención a los niños hasta el punto de que hubo 20 desmayados.	se ve	HREL
fijate slang que en forma personal no veo algo malo en que se llame este PRECIOSO SITIO foros mexico.	algo	NH
Y más cuando... En algunos casos... Algunos se hicieron pasar por padres biológicos(hablo de familias heterosexuales).	algunos	NH
como usted dice es un ahorro forzado,pero cada uno debería ahorrar pero porque yo tengo que sacar de la mia ?? O en algun momento se le descuenta al trabajador?	algun	NH
-Ahora que la mujer trabaja, no hay quien se encargue de los ninos.	hay quien	HPROP
A ver qué pasa, lo que se ve, es que esperan mucho de Obama, en su gobierno, incluso ya países árabes y gobiernos bananeros, lo ven con buena cara.	se ve	HREL
¿Usted ha visto a López Dóriga, a Loret, o al articulista que le guste de derecha “reconocer” alguna vez algo?	alguna	HPROP
son tus gustos personales eso no quiere decir que ahi esten las mas bonitas, en todo caso no conosco todo el peru no podria decirte	podria	NH
has visto a un gay estar cojiendo enla calle?? yo la verdad nunca, es mas te voy a contar algo, por donde vivo, se paran un chingo de trasvesti, lo que yo he visto es que hay quien los llega a buscar y en carro, la mayoria son mayores de edad y saben a lo que van, nollegan engañados.	hay quien	HPROP
Lo siento por los foristas normales, pero se juntó la tribu de los....resentidos.....	siento	HREL
siento vergüenza ajena pobre chibolo paltomiel xD	siento	HREL
De cara está en debe, pero tiene actitud de traviesa y, sobre todo, buen anibal smith	debe	HREL
