hedge,usage1,usage2,hedge_type,subcategory
aparentemente,Aparentemente habrá un concierto esta tarde.,Otro,HPROP,DEG
aproximadamente,La pared mide aproximadamente 15 metros.,Otro,HPROP,DEG
básicamente,La película es básicamente una parodia.,Otro,HPROP,DEG
casi,Ya casi no hay librerías en el pueblo.,Casi llego tarde a la junta.,HPROP,DEG
esencialmente,La película es esencialmente una parodia.,Otro,HPROP,DEG
parcialmente,Lo que dices es parcialmente verdadero.,Otro,HPROP,DEG
particularmente,Esto no es particularmente divertido.,Otro,HPROP,DEG
principalmente,El orégano se usa principalmente como condimento.,Otro,HPROP,DEG
prácticamente,La película es prácticamente una parodia.,Otro,HPROP,DEG
relativamente,Esto debería de ser relativamente sencillo.,Otro,HPROP,DEG
técnicamente,Técnicamente no es una respuesta correcta.,Los resultados del estudio son técnicamente precisos.,HPROP,DEG
virtualmente,Es virtualmente imposible cruzar el valle caminando.,Yo me comunico virtualmente a través de mi computadora.,HPROP,DEG
a veces,A veces puedo ser un poco molesto.,Otro,HPROP,FREQ
de repente,De repente sentí muchas ganas de jugar futbol.,Otro,HPROP,FREQ
frecuentemente,Mis padres me visitan frecuentemente.,Otro,HPROP,FREQ
generalmente,Generalmente no salgo los jueves por la tarde.,Otro,HPROP,FREQ
ocasionalmente,Ocasionalmente visito a mis tíos en España.,Otro,HPROP,FREQ
rara vez,Rara vez ceno en ese restaurante.,Otro,HPROP,FREQ
raramente,Raramente ceno en ese restaurante.,Otro,HPROP,FREQ
seguido,Mis padres me visitan muy seguido.,Otro,HPROP,FREQ
usualmente,Usualmente no salgo los jueves por la tarde.,Otro,HPROP,FREQ
algo,La situación es algo delicada.,Vi que algo se movía ayer por la noche.,HPROP,NONSPEC
alguien,Alguien tendrá que limpiar este desastre.,Yo soy alguien en quien confiar.,HPROP,NONSPEC
algún,Algún lápiz habrá caído por la abertura.,Otro,HPROP,NONSPEC
algún día,Algún día veremos la puesta de sol.,Otro,HPROP,NONSPEC
alguna,Alguna pluma habrá caído por la abertura.,Otro,HPROP,NONSPEC
alguno,Pedro no dejó rastro alguno.,Otro,HPROP,NONSPEC
algunos,Algunos dicen que murió ahogado.,Otro,HPROP,NONSPEC
alguna manera,Tuvo que haber escapado de alguna manera.,Otro,HPROP,NONSPEC
hay quien,Hay quien dice que murió ahogado.,Otro,HPROP,NONSPEC
bastante,Hay bastante trabajo por hacer.,Otro,HPROP,QUANT
bastantes,Hay bastantes cosas por hacer.,Otro,HPROP,QUANT
